currency,snapshot_ts,n_options,rmse_black,mae_black,within_black,rmse_heston,mae_heston,within_heston,rmse_svcj,mae_svcj,within_svcj
ETH,2026-01-22 21:23:34+00:00,128,0.005925882676874969,0.004331243348704885,0.25,0.0009978224624689132,0.0007764855658630945,0.59375,0.0006470106127393194,0.00048676125037613123,0.6953125
ETH,2026-01-23 03:59:07+00:00,128,0.007980807175202755,0.005291522607729241,0.2734375,0.0011540674364750967,0.0008503160322560516,0.5703125,0.0009299831305413082,0.0006829650801877019,0.6171875
ETH,2026-01-23 09:23:19+00:00,121,0.007960873156930379,0.005907928503885878,0.2066115702479339,0.001141312690721809,0.0008386405563068802,0.6363636363636364,0.0009077333417584592,0.0006671869282111384,0.7024793388429752
ETH,2026-01-23 15:35:25+00:00,126,0.006766738719290044,0.005284231509070837,0.19047619047619047,0.001293726555459814,0.001020719953227168,0.5158730158730159,0.001109954827114542,0.000865431139148786,0.5238095238095238
ETH,2026-01-23 21:21:30+00:00,125,0.007848487896633224,0.005602273932826738,0.24,0.0018562228160779,0.0014709849204322008,0.448,0.0015985321712062288,0.0012399456393393641,0.496
ETH,2026-01-24 03:53:41+00:00,122,0.00821065797182955,0.006272298238301298,0.1885245901639344,0.0018789076509364965,0.0015297037824744141,0.3524590163934426,0.0016516999126001733,0.0013169364499870354,0.4180327868852459
ETH,2026-01-24 09:14:23+00:00,120,0.010442806858932709,0.006889368034438671,0.31666666666666665,0.0020080700456678,0.001566282413732109,0.49166666666666664,0.0017890538944174451,0.0013781745476070843,0.5333333333333333
ETH,2026-01-24 15:28:27+00:00,121,0.008386867021601435,0.006034936694281559,0.2396694214876033,0.0017512750587591677,0.0012654714132422427,0.48760330578512395,0.0015334717796640638,0.0010640383308505243,0.5867768595041323
ETH,2026-01-24 21:18:21+00:00,122,0.005674097179289912,0.004186377060040122,0.29508196721311475,0.0012637878630859562,0.0009927516752549063,0.5573770491803278,0.0009464449034957202,0.0007466605021859313,0.5901639344262295
ETH,2026-01-25 04:09:12+00:00,123,0.006302095081157392,0.004449649157238248,0.24390243902439024,0.0011716060501973911,0.0008853772807509661,0.5691056910569106,0.0008154644481286519,0.0006289601520979833,0.6991869918699187
ETH,2026-01-25 09:15:16+00:00,121,0.007408686588914819,0.004901979856603829,0.371900826446281,0.0014903851222716161,0.001134594396148977,0.6611570247933884,0.0014420920679947893,0.0011218459037808676,0.6446280991735537
ETH,2026-01-25 15:29:00+00:00,122,0.006759329085395987,0.004308545626021994,0.2786885245901639,0.0013002741073869408,0.0009250340475250863,0.6065573770491803,0.0010795490981654777,0.0007962601446805218,0.6967213114754098
ETH,2026-01-25 21:19:33+00:00,123,0.0050006632165928225,0.003576082963155343,0.3008130081300813,0.0014641494123755283,0.0011827257446840789,0.4878048780487805,0.0015187409514517034,0.0012372476262643222,0.5365853658536586
ETH,2026-01-26 04:11:38+00:00,130,0.004563340880311913,0.0031562266571379177,0.36923076923076925,0.0013058827451748235,0.0010435660522430791,0.46923076923076923,0.0012962531224194784,0.0010487203909264507,0.5461538461538461
ETH,2026-01-26 09:27:55+00:00,123,0.004859855449686416,0.0034022205006945623,0.34959349593495936,0.0010157598725860607,0.0008142350420646004,0.5609756097560976,0.0009795233716895849,0.0008119801034488541,0.5609756097560976
ETH,2026-01-26 15:37:46+00:00,126,0.0056141146156219925,0.0040234958411959265,0.2777777777777778,0.0010602964698157463,0.000881336769359445,0.5238095238095238,0.0009214308323080233,0.0007317891166521291,0.6507936507936508
ETH,2026-01-26 21:24:49+00:00,125,0.00609526305484446,0.004408486382199993,0.304,0.0008606225899114796,0.0007216277567085725,0.752,0.000703033478215504,0.000565062832230291,0.72
ETH,2026-01-27 04:02:34+00:00,123,0.004911714119537591,0.0035748781151577007,0.25203252032520324,0.0008021654114454727,0.0006274642500334143,0.6504065040650406,0.0007105138986353864,0.0005212024453343656,0.6829268292682927
ETH,2026-01-27 09:26:15+00:00,120,0.006475882812805347,0.004571410287331248,0.2916666666666667,0.0007264298085901827,0.0005771297888577211,0.7,0.0006054077977663984,0.000504229039709488,0.7583333333333333
ETH,2026-01-27 15:38:03+00:00,122,0.005537241946357871,0.0040199533475168015,0.30327868852459017,0.0007182035103834983,0.0005864853847090694,0.6967213114754098,0.0006139159499359004,0.0004755604359013932,0.7622950819672131
ETH,2026-01-27 21:18:42+00:00,129,0.005199749530365576,0.0037661617590526108,0.27906976744186046,0.0007308261004233189,0.0005801840835930489,0.6666666666666666,0.0006045475544684682,0.0004835396865440751,0.7364341085271318
ETH,2026-01-28 04:00:47+00:00,130,0.005266854041433023,0.0038617659730981755,0.2923076923076923,0.0007741968963386979,0.0006498460538543784,0.6461538461538462,0.0006503364388029356,0.0004997199876554567,0.7461538461538462
ETH,2026-01-28 09:27:52+00:00,124,0.006209984059362137,0.004592056269496172,0.27419354838709675,0.0009564508116173437,0.0007234394796204418,0.6935483870967742,0.001037376373623125,0.0007125327555970555,0.7661290322580645
ETH,2026-01-28 15:41:50+00:00,129,0.004834218209500962,0.0037358251835100087,0.23255813953488372,0.0008917596589322166,0.0007244231735538566,0.5426356589147286,0.0008387060135082426,0.000632413510659025,0.6124031007751938
ETH,2026-01-28 21:29:43+00:00,129,0.005507665019968532,0.004202419364810577,0.24031007751937986,0.0008505364274984228,0.0006654804209452563,0.689922480620155,0.0008467540030365231,0.0006195566078906833,0.751937984496124
ETH,2026-01-29 04:22:27+00:00,128,0.004977675992318665,0.0036698645490101534,0.3046875,0.0010658555660217589,0.0007489126947967783,0.7421875,0.0009343377396717238,0.0006468359634445569,0.7265625
ETH,2026-01-29 09:34:52+00:00,116,0.008030823312910267,0.005927831023800443,0.13793103448275862,0.0010894742623843883,0.0008050826919349256,0.5775862068965517,0.0008783236889959524,0.0006726987643636924,0.5862068965517241
ETH,2026-01-29 15:45:42+00:00,125,0.00496299817167569,0.003589642433263193,0.264,0.0012762466835437808,0.0009499848127005841,0.488,0.0012085675499391981,0.0008406025369010381,0.584
ETH,2026-01-29 21:27:44+00:00,134,0.004904354770912058,0.0038416268755057667,0.13432835820895522,0.000949364316236737,0.0007583021259077984,0.5074626865671642,0.0008002843101775275,0.0006274265706473269,0.6119402985074627
ETH,2026-01-30 04:25:15+00:00,141,0.004132886915762958,0.003078982771406575,0.3262411347517731,0.0013012074497373806,0.0010441204281466225,0.5319148936170213,0.0012015233591075442,0.000956129651615135,0.5957446808510638
ETH,2026-01-30 09:31:22+00:00,131,0.004987434420712766,0.003591964677738583,0.24427480916030533,0.0013966157412542133,0.0010274680846676042,0.5572519083969466,0.0011154157893016204,0.0008679473080285045,0.5190839694656488
ETH,2026-01-30 15:45:06+00:00,135,0.006157925546642964,0.00441322888800008,0.23703703703703705,0.0014527137233469921,0.0011051511948016583,0.42962962962962964,0.0010285654088763353,0.000796611237482843,0.5851851851851851
ETH,2026-01-30 21:28:31+00:00,136,0.0052698926380937905,0.003861010016778482,0.27941176470588236,0.0011538782966063876,0.0008831952165934724,0.5808823529411765,0.0009530726601109813,0.0007440310089061103,0.7058823529411765
ETH,2026-01-31 04:20:50+00:00,137,0.006920810327792546,0.004851879643984511,0.21897810218978103,0.001076034316059971,0.0008439430067722223,0.635036496350365,0.0008940659910370222,0.0006954731899327515,0.6131386861313869
ETH,2026-01-31 09:21:02+00:00,131,0.004157881905416637,0.0030000090342249368,0.4198473282442748,0.001382933381507525,0.0010620476713697738,0.5648854961832062,0.001276867037101487,0.0010275485808592265,0.5725190839694656
ETH,2026-01-31 15:33:00+00:00,138,0.003631574924607792,0.002722284779677803,0.3333333333333333,0.002927502591140721,0.002260607335103399,0.391304347826087,0.0024098628306942933,0.0017836666850237388,0.463768115942029
ETH,2026-01-31 21:21:33+00:00,152,0.0037959399867609094,0.002799955805191621,0.42105263157894735,0.0030621000846636813,0.002363277957874546,0.4342105263157895,0.0023025918460133996,0.001728101949229988,0.4934210526315789
ETH,2026-02-01 04:54:02+00:00,156,0.0031902169702747343,0.002413729133428971,0.3717948717948718,0.0031249138423964937,0.0023117713350638658,0.391025641025641,0.0024952127860041313,0.0017507359116111852,0.4423076923076923
ETH,2026-02-01 09:23:23+00:00,144,0.003235622463932036,0.0025738970401193682,0.3611111111111111,0.0029604552174516794,0.002357302747583698,0.3402777777777778,0.0020107816116854077,0.0014492438887213606,0.4166666666666667
ETH,2026-02-01 15:33:49+00:00,142,0.004768524596215137,0.0035620125524909304,0.43661971830985913,0.0026700856563096863,0.0019973183762202833,0.5,0.0019199593203833595,0.0014074999670906567,0.5985915492957746
ETH,2026-02-01 21:23:30+00:00,146,0.003964085733480991,0.003057915009131868,0.4178082191780822,0.002821982729243355,0.002204306341181324,0.4520547945205479,0.0020860473638671336,0.0016229103101378975,0.5342465753424658
ETH,2026-02-02 04:50:19+00:00,155,0.005528531968978506,0.004455752673162373,0.2967741935483871,0.003098650825421476,0.002396336313757935,0.3870967741935484,0.0024872839220523124,0.0019043855306655633,0.41935483870967744
ETH,2026-02-02 09:39:00+00:00,143,0.004771582429092899,0.0036505195323810525,0.3356643356643357,0.0027630112004802965,0.0021428819331412996,0.4125874125874126,0.0022296472282355363,0.0016443612071165331,0.42657342657342656
ETH,2026-02-02 15:45:14+00:00,149,0.004005041316473164,0.0031191177108873683,0.37583892617449666,0.0024270352640086844,0.001885961615156741,0.436241610738255,0.0017343251244238413,0.0012503736766778537,0.5637583892617449
ETH,2026-02-03 04:29:35+00:00,145,0.002695910011829046,0.002102215890316535,0.4,0.00198001509648582,0.0014533414377803295,0.5310344827586206,0.0011510308531244102,0.0008197801603581666,0.6275862068965518
ETH,2026-02-03 09:33:33+00:00,126,0.0033953734148713037,0.002714090621231772,0.3888888888888889,0.0028616911991906748,0.0019511959550449235,0.5634920634920635,0.002648514510775011,0.0016731675831972213,0.6507936507936508
ETH,2026-02-03 15:58:26+00:00,141,0.003021190754332158,0.002331739822247832,0.425531914893617,0.0016760020094216128,0.0012989101414042433,0.574468085106383,0.0009913178399442002,0.0006934426675201772,0.7801418439716312
ETH,2026-02-03 21:35:03+00:00,143,0.00960582835598635,0.006503005530960224,0.2517482517482518,0.009218391792657177,0.00466298029699162,0.5384615384615384,0.009095363916556371,0.004312557053486638,0.6573426573426573
ETH,2026-02-04 04:24:03+00:00,147,0.01043442079514923,0.005479524986891003,0.29931972789115646,0.010606384442328169,0.003935283360113362,0.4557823129251701,0.010613441810416409,0.003817831746063373,0.4965986394557823
ETH,2026-02-04 09:36:20+00:00,125,0.005303626693548504,0.0037725124322717444,0.336,0.005211880561120431,0.0031796348382138293,0.392,0.005170591549899784,0.0028109790361919027,0.424
ETH,2026-02-04 15:54:01+00:00,137,0.006888541615475498,0.005121658484804716,0.29927007299270075,0.0023807503169518854,0.0014610574781304469,0.48905109489051096,0.0026008777016376947,0.0015632684924844016,0.5328467153284672
ETH,2026-02-04 21:33:08+00:00,142,0.008293255256494627,0.0059549592978289535,0.23943661971830985,0.006865277292931648,0.0029511890463102246,0.4859154929577465,0.006918451220146656,0.0028951894338842335,0.4859154929577465
ETH,2026-02-05 04:29:52+00:00,126,0.006620610137773946,0.005011207603828432,0.2698412698412698,0.0032356121226005357,0.0019687953530539977,0.4603174603174603,0.003248592641542702,0.0020004660626758274,0.4603174603174603
